Match_addr,X,Y,IN_AlarmDa,FR_Cause_1
321 6TH ST SW,11485715.89,3898082.474,2006-04-04T00:00:00.000Z,Unintentional
1215 LEE ST,11483404.36,3899020.127,2006-04-07T00:00:00.000Z,NULL
712 MADISON AVE #A,11484328.62,3902596.75,2006-04-26T00:00:00.000Z,NULL
1300 KENWOOD LN,11491570.04,3908073.244,2006-04-30T00:00:00.000Z,NULL
1341 LONG ST,11494550.16,3900594.318,2006-04-30T00:00:00.000Z,Cause undetermined after investigation
2101 ARLINGTON BLVD #101,11481072.06,3905792.831,2006-04-10T00:00:00.000Z,Intentional
990 5TH ST SW,11484681.89,3895220.585,2006-05-04T00:00:00.000Z,Cause under investigation
1100 PARK ST,11491437.1,3902997.318,2006-05-05T00:00:00.000Z,Failure of equipment or heat source
167 CHANCELLOR ST #A,11482662.06,3901686.628,2006-05-07T00:00:00.000Z,NULL
617 BLENHEIM AVE,11488209.43,3896282.775,2006-05-23T00:00:00.000Z,NULL
1300 LONG ST,11493626.36,3900671.265,2006-06-02T00:00:00.000Z,Failure of equipment or heat source
735 PARK ST,11490125.03,3901884.891,2006-06-03T00:00:00.000Z,Unintentional
1016 GRADY AVE #A,11485049.83,3901757.611,2006-06-07T00:00:00.000Z,Unintentional
2301 SHELBY DR,11484081.7,3910733.573,2006-06-08T00:00:00.000Z,Failure of equipment or heat source
2035 INDIA RD,11486249.58,3910467.62,2006-06-09T00:00:00.000Z,NULL
508 HARRIS RD,11481915.22,3892885.628,2006-06-10T00:00:00.000Z,NULL
1701 ESSEX RD,11489143.63,3910007.994,2006-06-10T00:00:00.000Z,NULL
200 W WATER ST,11487863.24,3898666.997,2006-06-13T00:00:00.000Z,Unintentional
237 HARTMANS MILL RD,11485590.57,3895727.073,2006-06-14T00:00:00.000Z,Unintentional
1916 CEDAR HILL RD #A,11484515.93,3911236.366,2006-06-19T00:00:00.000Z,Unintentional
313 2ND ST SE #101,11488355.2,3898147.695,2006-06-19T00:00:00.000Z,Unintentional
773 PROSPECT AVE,11483854.7,3895615.614,2006-06-22T00:00:00.000Z,Unintentional
1035 MILLMONT ST,11481341.51,3906201.979,2006-06-23T00:00:00.000Z,NULL
1519 DAIRY RD,11486671.35,3907022.207,2006-06-25T00:00:00.000Z,NULL
1027 HOLMES AVE,11493497.32,3903919.357,2006-06-27T00:00:00.000Z,NULL
1414 HAZEL ST,11493280.55,3899766.456,2006-06-28T00:00:00.000Z,Failure of equipment or heat source
338 CLEVELAND AVE,11480509.29,3894527.32,2006-06-29T00:00:00.000Z,Unintentional
800 PRESTON AVE,11486219.96,3900945.233,2006-07-14T00:00:00.000Z,Unintentional
104 KEYSTONE PL,11491281.41,3892814.512,2006-07-15T00:00:00.000Z,Failure of equipment or heat source
1418 EMMET ST N,11484131.34,3908150.911,2006-07-18T00:00:00.000Z,Unintentional
412 E MAIN ST,11488975.72,3898512.62,2006-07-30T00:00:00.000Z,Unintentional
729 PROSPECT AVE,11484239.33,3896252.426,2006-08-01T00:00:00.000Z,Failure of equipment or heat source
500 PARK ST,11489980.73,3900007.907,2006-08-02T00:00:00.000Z,Failure of equipment or heat source
718 FRANKLIN ST,11493023.91,3894896.277,2006-08-05T00:00:00.000Z,Unintentional
1705 EMMET ST N,11484529.78,3909235.166,2006-08-12T00:00:00.000Z,NULL
915 MONTROSE AVE,11489711.1,3895019.85,2006-08-20T00:00:00.000Z,NULL
207 RIDGE ST,11486865.91,3898296.538,2006-08-22T00:00:00.000Z,NULL
1202 LITTLE HIGH ST,11492167.22,3898408.842,2006-08-22T00:00:00.000Z,Failure of equipment or heat source
1130 OTTER ST,11493450.21,3901266.714,2006-08-26T00:00:00.000Z,Cause under investigation
1638 CENTER AVE,11480098.91,3896167.634,2006-08-29T00:00:00.000Z,Unintentional
818 ROSE HILL DR,11486820.42,3901790.95,2006-09-05T00:00:00.000Z,Unintentional
2505 JEFFERSON PARK AVE,11478507.33,3894811.969,2006-09-07T00:00:00.000Z,NULL
1608 TRAILRIDGE RD,11481703.79,3895161.709,2006-09-14T00:00:00.000Z,"Cause, other"
2111 MICHIE DR #100,11486601.83,3909596.579,2006-09-01T00:00:00.000Z,Failure of equipment or heat source
422 GARRETT ST #A,11488530.97,3897432.241,2006-09-22T00:00:00.000Z,Unintentional
1700 CHERRY AVE,11480098.36,3895379.112,2006-09-22T00:00:00.000Z,Unintentional
1400 MELBOURNE RD,11489927.84,3906857.363,2006-10-13T00:00:00.000Z,Failure of equipment or heat source
1656 BRANDYWINE DR,11488806.14,3910980.622,2006-10-13T00:00:00.000Z,Failure of equipment or heat source
828 MCINTIRE RD,11490185.77,3902918.189,2006-10-13T00:00:00.000Z,Unintentional
102 APPLE TREE RD,11477320.63,3897267.078,2006-10-14T00:00:00.000Z,Cause undetermined after investigation
2311 WAYNE AVE #A,11482646.36,3909517.171,2006-10-19T00:00:00.000Z,Intentional
1602 KEITH VALLEY RD,11486822.88,3907885.501,2006-10-20T00:00:00.000Z,Unintentional
1602 KEITH VALLEY RD,11486822.88,3907885.501,2006-10-20T00:00:00.000Z,"Cause, other"
601 PRESTON AVE,11487088.65,3900613.199,2006-10-23T00:00:00.000Z,Failure of equipment or heat source
600 PRESTON AVE,11486916.66,3900339.379,2006-10-27T00:00:00.000Z,Unintentional
1409 SHORT 18TH ST,11493974.33,3897365.656,2006-11-05T00:00:00.000Z,Unintentional
1205 CARLTON AVE,11491368.78,3896106.02,2006-11-12T00:00:00.000Z,Cause under investigation
852 W MAIN ST,11484828.79,3899267.863,2006-10-27T00:00:00.000Z,Unintentional
608 RIDGE ST,11486077.66,3896918.249,2006-11-18T00:00:00.000Z,Cause under investigation
1104 ROSSER AVE E,11484764.41,3902213.977,2006-11-20T00:00:00.000Z,Unintentional
1317 CARLTON AVE #100,11492238.36,3895710.863,2006-11-21T00:00:00.000Z,Cause under investigation
1124 E HIGH ST,11492054.93,3899246.773,2006-11-22T00:00:00.000Z,Unintentional
808 CONCORD AVE,11487065.77,3901998.375,2006-11-26T00:00:00.000Z,Unintentional
808 CONCORD AVE,11487065.77,3901998.375,2006-11-27T00:00:00.000Z,Unintentional
612 RIDGE ST #1,11486023.65,3896821.354,2006-12-01T00:00:00.000Z,Cause under investigation
910 1ST ST S #A,11486878.05,3895667.692,2006-12-08T00:00:00.000Z,Unintentional
401 5TH ST SW,11485920.71,3897919.197,2006-12-10T00:00:00.000Z,Unintentional
1301 CARLTON AVE,11491702.61,3895958.512,2006-12-11T00:00:00.000Z,Unintentional
241 ZAN RD,11486328.79,3911093.83,2006-12-11T00:00:00.000Z,NULL
412 GARRETT ST #A,11488496.87,3897733.814,2006-12-17T00:00:00.000Z,Failure of equipment or heat source
704 FRANKLIN ST,11492705.43,3894648.087,2006-12-19T00:00:00.000Z,NULL
806 ALTAVISTA AVE,11488705.37,3894738.244,2006-12-24T00:00:00.000Z,Unintentional
1110 KING ST,11482936.36,3898075.061,2006-12-27T00:00:00.000Z,Cause undetermined after investigation
2203 JEFFERSON PARK AVE,11478538.8,3896887.735,2006-12-29T00:00:00.000Z,Cause undetermined after investigation
2111 MICHIE DR #100,11486601.83,3909596.579,2006-12-22T00:00:00.000Z,Cause undetermined after investigation
2132 IVY RD,11478668.2,3903308.027,2007-01-19T00:00:00.000Z,Unintentional
762 PROSPECT AVE #A,11484693.02,3896278.98,2007-01-27T00:00:00.000Z,Intentional
600 14TH ST NW,11484066.06,3902310.636,2007-02-01T00:00:00.000Z,Cause under investigation
68 UNIVERSITY WAY #1,11482429.21,3902714.73,2007-02-03T00:00:00.000Z,Unintentional
1226 HARRIS ST,11488857.98,3902342.103,2007-02-07T00:00:00.000Z,Cause undetermined after investigation
1926 LEWIS MOUNTAIN RD,11480051.77,3901456.919,2007-02-11T00:00:00.000Z,Failure of equipment or heat source
512 LEXINGTON AVE,11490909.04,3899857.266,2007-02-11T00:00:00.000Z,NULL
1305 WERTLAND ST #B1,11483554.92,3900428.17,2007-02-19T00:00:00.000Z,Unintentional
1459 AVON ST,11487300.3,3893852.254,2007-02-25T00:00:00.000Z,Unintentional
995 SEMINOLE TRL,11486048.29,3911015.281,2007-03-04T00:00:00.000Z,Unintentional
235 W MAIN ST #A,11487615.2,3899177.478,2007-03-05T00:00:00.000Z,NULL
2015 LEWIS MOUNTAIN RD,11478596.12,3901695.026,2007-03-18T00:00:00.000Z,Cause under investigation
2013 LEWIS MOUNTAIN RD,11478612.17,3901696.478,2007-03-18T00:00:00.000Z,"Cause, other"
2015 LEWIS MOUNTAIN RD,11478596.12,3901695.026,2007-03-18T00:00:00.000Z,"Cause, other"
1705 EMMET ST N,11484529.78,3909235.166,2007-03-22T00:00:00.000Z,NULL
750 PROSPECT AVE #A,11484429.31,3896034.266,2007-03-22T00:00:00.000Z,Unintentional
1901 EMMET ST N,11484948.91,3910095.53,2007-03-24T00:00:00.000Z,Unintentional
2121 IVY RD,11479440.33,3903422.98,2007-03-30T00:00:00.000Z,Failure of equipment or heat source
1014 E MARKET ST,11490819.33,3897983.225,2007-03-30T00:00:00.000Z,Failure of equipment or heat source
207 SPRIGG LN,11480547.24,3901870.973,2007-04-02T00:00:00.000Z,Unintentional
1801 HYDRAULIC RD,11485874.37,3909883.8,2007-04-05T00:00:00.000Z,NULL
212 CREAM ST,11485917.63,3899558.91,2007-04-05T00:00:00.000Z,NULL
111 KENT TER,11480216.12,3897794.437,2007-04-06T00:00:00.000Z,NULL
2616 JEFFERSON PARK CIR,11477892.74,3894330.672,2007-04-07T00:00:00.000Z,NULL
205 SPRIGG LN,11480511.73,3901882.217,2006-10-15T00:00:00.000Z,NULL
205 SPRIGG LN,11480511.73,3901882.217,2006-01-12T00:00:00.000Z,NULL
1801 HYDRAULIC RD,11485874.37,3909883.8,2007-04-09T00:00:00.000Z,NULL
1300 LONG ST,11493626.36,3900671.265,2006-08-29T00:00:00.000Z,NULL
1601 UNIVERSITY AVE,11482663.51,3900645.104,2007-04-10T00:00:00.000Z,Intentional
1306 RUGBY RD,11485345.91,3905522.211,2007-04-17T00:00:00.000Z,NULL
1532 VIRGINIA AVE,11482908.49,3901695.056,2007-04-20T00:00:00.000Z,NULL
908 ST CLAIR AVE,11493514.56,3901364.533,2007-04-20T00:00:00.000Z,Unintentional
722 PROSPECT AVE #A,11484459.04,3896396.622,2007-04-21T00:00:00.000Z,Unintentional
750 WALKER SQ #1A,11485237.18,3898730.876,2007-04-22T00:00:00.000Z,NULL
730 MCINTIRE RD,11489562.21,3902388.601,2007-04-22T00:00:00.000Z,Unintentional
2511 HILLWOOD PL,11490480.41,3911445.687,2007-01-13T00:00:00.000Z,Cause undetermined after investigation
1801 HYDRAULIC RD,11485874.37,3909883.8,2007-04-24T00:00:00.000Z,NULL
409 13TH ST NW #1A,11483889.3,3901373.225,2007-01-27T00:00:00.000Z,Unintentional
1801 HYDRAULIC RD,11485874.37,3909883.8,2007-04-24T00:00:00.000Z,NULL
611 RUGBY RD #101,11482910.79,3903213.222,2007-04-23T00:00:00.000Z,NULL
1806 YORKTOWN DR #A,11490089.33,3910128.973,2007-04-29T00:00:00.000Z,NULL
1319 E MARKET ST,11492770.47,3897105.692,2007-04-29T00:00:00.000Z,NULL
510 CLEVELAND AVE #A,11483147.11,3893796.521,2007-05-03T00:00:00.000Z,Unintentional
1011 E JEFFERSON ST,11490967.07,3898534.053,2007-05-07T00:00:00.000Z,Unintentional
150 GOODMAN ST #1,11489919.53,3896904.676,2007-05-27T00:00:00.000Z,Cause under investigation
313 6TH ST SW,11485776.4,3898163.751,2004-01-25T00:00:00.000Z,NULL
1924 SWANSON DR #1,11484983.12,3910804.575,2007-06-03T00:00:00.000Z,Unintentional
2408 JEFFERSON PARK AVE,11478759.99,3895936.036,2007-06-04T00:00:00.000Z,Unintentional
602 BAILEY RD,11484186.28,3895190.384,2007-06-18T00:00:00.000Z,Unintentional
701 E HIGH ST,11489944.09,3899288.814,2007-06-16T00:00:00.000Z,Unintentional
118 RIVERBLUFF CIR,11495324.32,3897950.58,2007-07-04T00:00:00.000Z,NULL
926 CHARLTON AVE #A,11486013.26,3901971.379,2007-07-04T00:00:00.000Z,Intentional
1110 ROSE HILL DR #100,11487626.78,3902919.772,2007-07-07T00:00:00.000Z,Unintentional
1801 HYDRAULIC RD,11485874.37,3909883.8,2007-07-08T00:00:00.000Z,NULL
2205 FONTAINE AVE #104,11478324.2,3897192.624,2007-07-09T00:00:00.000Z,NULL
527 7 1/2 ST SW,11484690.43,3897477.417,2007-07-09T00:00:00.000Z,Unintentional
1158 5TH ST SW,11482137.33,3891902.082,2007-07-14T00:00:00.000Z,NULL
608 HINTON AVE,11488906.29,3897230.746,2007-07-23T00:00:00.000Z,"Cause, other"
910 RIVER RD,11494862.17,3900682.36,2007-07-24T00:00:00.000Z,Unintentional
246 SHAMROCK RD #A,11480911.4,3896809.589,2007-07-17T00:00:00.000Z,Cause under investigation
755 WALKER SQ #1A,11485378.97,3898917.415,2007-07-28T00:00:00.000Z,Unintentional
1910 ARLINGTON BLVD,11481539.32,3905081.669,2007-08-02T00:00:00.000Z,Cause undetermined after investigation
216 W WATER ST #101,11487619.33,3898736.547,2007-07-29T00:00:00.000Z,Cause undetermined after investigation
1021 WERTLAND ST #1,11484376.11,3900231.634,2007-07-29T00:00:00.000Z,Unintentional
126 13TH ST NW #1,11483560.18,3900042.565,2007-08-02T00:00:00.000Z,Unintentional
126 13TH ST NW #1,11483560.18,3900042.565,2007-08-02T00:00:00.000Z,"Cause, other"
1159 MILLMONT ST,11482642.24,3907450.585,2007-08-04T00:00:00.000Z,NULL
314 CARLTON RD,11491434.59,3895418.044,2007-08-12T00:00:00.000Z,Failure of equipment or heat source
802 HARDY DR,11485623.08,3899779.276,2007-08-13T00:00:00.000Z,Cause under investigation
606 HINTON AVE,11488883.38,3897253.917,2007-07-23T00:00:00.000Z,Cause under investigation
1017 PRESTON AVE #A,11485087.23,3902703.49,2007-08-15T00:00:00.000Z,Unintentional
1427 UNIVERSITY AVE,11482869.71,3900295.088,2007-08-19T00:00:00.000Z,Failure of equipment or heat source
118 CAMERON LN,11479926.78,3902312.36,2007-08-27T00:00:00.000Z,Failure of equipment or heat source
2021 IVY RD #D1,11479796.32,3903269.25,2007-08-26T00:00:00.000Z,Unintentional
769 PROSPECT AVE,11483889.9,3895672.068,2007-08-30T00:00:00.000Z,"Cause, other"
1207 GRADY AVE,11484465.52,3902132.872,2007-09-06T00:00:00.000Z,Unintentional
1406 GRADY AVE,11483856.58,3902302.94,2007-09-08T00:00:00.000Z,Unintentional
1007 ALTAVISTA AVE,11489683.78,3894290.987,2007-09-09T00:00:00.000Z,Unintentional
207 RIDGE ST,11486865.91,3898296.538,2007-09-10T00:00:00.000Z,Unintentional
771 PROSPECT AVE,11483884.46,3895662.811,2007-08-30T00:00:00.000Z,Cause under investigation
2502 PLATEAU RD,11476901.94,3896782.335,2007-09-10T00:00:00.000Z,Unintentional
212 5TH ST SW #A,11486310.53,3898422.051,2007-09-16T00:00:00.000Z,Unintentional
459 LOCUST AVE,11491135.52,3899421.42,2007-09-17T00:00:00.000Z,Failure of equipment or heat source
308 RIDGE ST,11486937.1,3897929.643,2007-09-20T00:00:00.000Z,Cause undetermined after investigation
1617 EMMET ST N,11484406.69,3908981.974,2007-09-21T00:00:00.000Z,NULL
211 HUNTLEY AVE,11477422.61,3895370.854,2007-09-22T00:00:00.000Z,NULL
1801 HYDRAULIC RD,11485874.37,3909883.8,2007-09-23T00:00:00.000Z,NULL
1002 RIVER RD,11495045.57,3901001.245,2007-09-29T00:00:00.000Z,Unintentional
801 EMMET ST N,11481627.88,3904906.341,2007-09-30T00:00:00.000Z,NULL
201 15TH ST NW #1A,11483011.32,3900844.418,2007-09-30T00:00:00.000Z,NULL
1021 WERTLAND ST #1,11484376.11,3900231.634,2007-09-30T00:00:00.000Z,NULL
401 MCINTIRE RD,11487625.9,3900172.781,2007-10-10T00:00:00.000Z,NULL
1000 RIDGE ST,11484650.53,3894667.138,2007-10-04T00:00:00.000Z,Unintentional
230 W MAIN ST,11487774.47,3898945.53,2007-10-11T00:00:00.000Z,Unintentional
2115 HYDRAULIC RD #A,11485050.13,3910736.7,2007-10-11T00:00:00.000Z,NULL
818 E HIGH ST,11490426.26,3898963.467,2007-10-11T00:00:00.000Z,Unintentional
801 CONCORD AVE,11487312.3,3901947.436,2007-10-12T00:00:00.000Z,NULL
742 PROSPECT AVE #A,11484607.21,3896427.401,2007-10-19T00:00:00.000Z,Unintentional
1014 E MARKET ST,11490819.33,3897983.225,2007-10-23T00:00:00.000Z,NULL
2110 MINOR RD,11478586.04,3902374.312,2007-10-25T00:00:00.000Z,Unintentional
624 BOLLING AVE,11488659.46,3896268.93,2007-10-28T00:00:00.000Z,NULL
716 HIGHLAND AVE,11481740.01,3894263.48,2007-11-03T00:00:00.000Z,NULL
2405 JEFFERSON PARK AVE,11478533.49,3896067.743,2007-11-08T00:00:00.000Z,NULL
1021 WERTLAND ST #1,11484376.11,3900231.634,2007-11-03T00:00:00.000Z,Unintentional
1154 5TH ST SW,11482227.28,3891948.019,2007-11-10T00:00:00.000Z,Unintentional
816 MONTROSE AVE #A,11489242.12,3895176.798,2007-11-24T00:00:00.000Z,Unintentional
123 E MAIN ST,11488434.01,3898886.197,2007-11-24T00:00:00.000Z,Unintentional
1207 HOLMES AVE,11494140.2,3904620.267,2007-12-03T00:00:00.000Z,Failure of equipment or heat source
815 LOCUST AVE #A,11492039.11,3900948.192,2007-12-05T00:00:00.000Z,Unintentional
2101 ARLINGTON BLVD #101,11481072.06,3905792.831,2007-11-16T00:00:00.000Z,Unintentional
1429 WESTWOOD RD,11488228.04,3903836.527,2008-01-02T00:00:00.000Z,NULL
804 ST JAMES CIR #A,11493098.17,3900724.113,2007-12-24T00:00:00.000Z,Unintentional
2319 TARLETON DR,11492255,3911754.618,2007-12-16T00:00:00.000Z,Failure of equipment or heat source
613 ROCK CREEK RD #A,11482484.16,3896286.53,2008-01-13T00:00:00.000Z,NULL
1400 MELBOURNE RD,11489927.84,3906857.363,2008-01-14T00:00:00.000Z,NULL
213 4TH ST NE,11489007.5,3899020.932,2008-01-13T00:00:00.000Z,Unintentional
1400 MELBOURNE RD,11489927.84,3906857.363,2008-01-15T00:00:00.000Z,NULL
1604 RICKY RD,11482469.83,3909764.771,2008-01-20T00:00:00.000Z,NULL
2434 JEFFERSON PARK AVE,11478816.25,3895340.748,2008-01-24T00:00:00.000Z,Unintentional
203 RIDGE ST,11486909.24,3898396.19,2008-01-25T00:00:00.000Z,Failure of equipment or heat source
500 1ST ST S #201,11487738.58,3897479.388,2008-01-25T00:00:00.000Z,Unintentional
1005 MONTROSE AVE,11489956.84,3894879.163,2008-02-01T00:00:00.000Z,Unintentional
2101 ARLINGTON BLVD #101,11481072.06,3905792.831,2008-01-24T00:00:00.000Z,Intentional
1001 E MARKET ST #1,11490654.14,3898183.791,2008-02-10T00:00:00.000Z,NULL
2101 ARLINGTON BLVD #101,11481072.06,3905792.831,2008-01-30T00:00:00.000Z,Cause under investigation
600 DICE ST,11485860.44,3898313.573,2008-02-10T00:00:00.000Z,Unintentional
1500 CARLTON AVE #9,11492717.21,3895105.441,2008-02-10T00:00:00.000Z,NULL
1904 EMMET ST N,11485364.43,3909516.805,2008-02-19T00:00:00.000Z,NULL
1002 LINDEN AVE #101,11491574.19,3892940.709,2008-02-16T00:00:00.000Z,Unintentional
901 ROSE HILL DR,11486778.67,3902010.342,2008-02-21T00:00:00.000Z,Unintentional
904 AVON ST,11488586.95,3895848.893,2008-02-22T00:00:00.000Z,Cause undetermined after investigation
2509 WESTERLY AVE,11476817.27,3896560.801,2008-02-22T00:00:00.000Z,NULL
702 FRANKLIN ST,11492792.92,3894691.089,2008-02-27T00:00:00.000Z,Unintentional
1 UNIVERSITY CIR,11482803.05,3903001.176,2008-03-15T00:00:00.000Z,NULL
913 E MARKET ST,11490225.42,3898414.364,2008-03-18T00:00:00.000Z,NULL
1116 MONTICELLO RD,11490774.84,3895616.89,2008-03-27T00:00:00.000Z,Cause under investigation
1600 GRADY AVE #1,11483188.55,3902733.906,2008-03-26T00:00:00.000Z,NULL
406 GARRETT ST #A,11488385.32,3897806.565,2008-03-27T00:00:00.000Z,NULL
1536 RUGBY RD,11485798.07,3907912.835,2008-03-29T00:00:00.000Z,Intentional
406 GARRETT ST #A,11488385.32,3897806.565,2008-03-30T00:00:00.000Z,Unintentional
1010 ELLIOTT AVE,11489872.94,3894435.586,2008-04-03T00:00:00.000Z,Unintentional
416 GARRETT ST #A,11488604.99,3897645.969,2008-04-06T00:00:00.000Z,Failure of equipment or heat source
1005 BLENHEIM AVE,11490128.09,3895166.23,2007-02-03T00:00:00.000Z,NULL
1010 WERTLAND ST #1A,11484477.14,3900023.3,2008-04-11T00:00:00.000Z,NULL
620 W MAIN ST,11486025.29,3899020.505,2008-04-12T00:00:00.000Z,Unintentional
224 9TH ST SW,11484511.45,3898752.346,2008-04-16T00:00:00.000Z,Unintentional
2101 ARLINGTON BLVD #101,11481072.06,3905792.831,2008-03-31T00:00:00.000Z,Cause under investigation
501 CHERRY AVE,11485718.62,3897541.608,2008-04-18T00:00:00.000Z,NULL
218 14TH ST NW #105,11483387.36,3900452.511,2008-04-17T00:00:00.000Z,Unintentional
1215 WERTLAND ST #A13,11483693.77,3900307.038,2008-04-19T00:00:00.000Z,Unintentional
1522 E HIGH ST,11494211.58,3899897.941,2008-04-26T00:00:00.000Z,Cause under investigation
978 ROCK CREEK RD,11483941.22,3894917.238,2008-05-08T00:00:00.000Z,Unintentional
411 GARRETT ST #A,11488396.4,3897579.846,2008-05-12T00:00:00.000Z,Unintentional
411 GARRETT ST #A,11488396.4,3897579.846,2006-10-12T00:00:00.000Z,NULL
619 MADISON AVE #A,11483999.14,3902754.807,2008-05-23T00:00:00.000Z,Unintentional
1317 HILLTOP RD,11485313.1,3906208.932,2008-05-27T00:00:00.000Z,Unintentional
900 E JEFFERSON ST,11490302.37,3898765.815,2008-06-02T00:00:00.000Z,NULL
1936 ARLINGTON BLVD,11481277.77,3905354.336,2008-06-02T00:00:00.000Z,Cause undetermined after investigation
979 ROCK CREEK RD,11483824.65,3894964.036,2008-06-05T00:00:00.000Z,Act of nature
1 MORTON DR #100,11484181.76,3907827.102,2008-06-07T00:00:00.000Z,Unintentional
1045 5TH ST SW,11483938.32,3894505.458,2008-06-09T00:00:00.000Z,Cause under investigation
766 PROSPECT AVE #A,11484587.45,3896103.524,2008-06-11T00:00:00.000Z,Unintentional
1004 KING ST,11483588.38,3898240.17,2008-06-12T00:00:00.000Z,Cause under investigation
1720 CHERRY AVE,11479998.18,3894921.013,2008-06-18T00:00:00.000Z,NULL
908 COTTAGE LN #1,11483760.96,3904341.225,2008-06-19T00:00:00.000Z,Cause under investigation
1719 HYDRAULIC RD,11485752.78,3909060.896,2008-06-24T00:00:00.000Z,Cause under investigation
800 ROSE HILL DR #1,11486722.38,3901615.188,2008-06-25T00:00:00.000Z,NULL
1935 ARLINGTON BLVD,11481449.6,3905442.281,2008-06-30T00:00:00.000Z,Unintentional
738 PROSPECT AVE #A,11484398.81,3896112.385,2008-07-01T00:00:00.000Z,Unintentional
400 E MAIN ST,11488888.98,3898547.907,2008-07-02T00:00:00.000Z,Intentional
900 E JEFFERSON ST,11490302.37,3898765.815,2008-07-03T00:00:00.000Z,NULL
822 ANDERSON ST,11485557.86,3900561.488,2008-07-04T00:00:00.000Z,Unintentional
604 CABELL AVE #A,11483766.73,3902649.527,2008-07-08T00:00:00.000Z,Cause under investigation
762 PROSPECT AVE #A,11484693.02,3896278.98,2008-07-09T00:00:00.000Z,Cause under investigation
225 DICE ST,11487552.67,3897722.61,2008-07-09T00:00:00.000Z,Cause undetermined after investigation
739 NALLE ST,11484947.97,3898578.842,2008-07-11T00:00:00.000Z,Failure of equipment or heat source
720 PROSPECT AVE #A,11484463.42,3896404.147,2008-07-17T00:00:00.000Z,Unintentional
764 PROSPECT AVE #A,11484591.78,3896110.891,2008-07-19T00:00:00.000Z,Cause undetermined after investigation
1139 5TH ST SW,11482138.48,3892456.875,2008-08-01T00:00:00.000Z,Failure of equipment or heat source
1101 E MARKET ST,11490973.34,3898020.776,2008-08-02T00:00:00.000Z,NULL
1404 E HIGH ST,11493600.01,3899527.233,2008-08-05T00:00:00.000Z,Unintentional
1138 ROSE HILL DR,11487749.64,3903267.862,2008-08-08T00:00:00.000Z,NULL
1600 6TH ST SE #23,11486800.1,3893789.929,2008-08-04T00:00:00.000Z,NULL
235 W MAIN ST #A,11487615.2,3899177.478,2008-08-08T00:00:00.000Z,NULL
760 PROSPECT AVE #A,11484697.35,3896286.348,2008-08-09T00:00:00.000Z,Unintentional
980 ROCK CREEK RD,11483966.9,3894932.835,2008-08-10T00:00:00.000Z,Unintentional
2001 HESSIAN RD,11484210.34,3906196.367,2008-08-11T00:00:00.000Z,Unintentional
1903 SWANSON DR,11484547.95,3910160.952,2008-08-13T00:00:00.000Z,NULL
240 ZAN RD,11486825.64,3910894.357,2008-08-15T00:00:00.000Z,NULL
240 ZAN RD,11486825.64,3910894.357,2008-08-15T00:00:00.000Z,Unintentional
102 MORRIS PAUL CT #A,11476499.39,3896398.369,2008-08-15T00:00:00.000Z,NULL
100 E MAIN ST,11488242.05,3898818.457,2008-08-18T00:00:00.000Z,NULL
720 PROSPECT AVE #A,11484463.42,3896404.147,2008-08-25T00:00:00.000Z,NULL
412 GARRETT ST #A,11488496.87,3897733.814,2008-09-11T00:00:00.000Z,NULL
412 GARRETT ST #A,11488496.87,3897733.814,2008-09-11T00:00:00.000Z,Intentional
2437 JEFFERSON PARK AVE,11478583.02,3895264.024,2008-09-20T00:00:00.000Z,NULL
905 ANDERSON ST,11485497.8,3900712.742,2008-10-07T00:00:00.000Z,NULL
1112 MONTICELLO RD,11490749.13,3895727.868,2008-10-16T00:00:00.000Z,NULL
1112 MONTICELLO RD,11490749.13,3895727.868,2008-10-16T00:00:00.000Z,Unintentional
27 UNIVERSITY CIR #1,11481823.53,3903452.901,2008-10-20T00:00:00.000Z,NULL
748 PROSPECT AVE #A,11484433.75,3896041.574,2008-10-20T00:00:00.000Z,NULL
27 UNIVERSITY CIR #1,11481823.53,3903452.901,2008-10-20T00:00:00.000Z,Cause under investigation
748 PROSPECT AVE #A,11484433.75,3896041.574,2008-10-20T00:00:00.000Z,Unintentional
601 MONTROSE AVE,11488039.3,3895981.204,2008-10-21T00:00:00.000Z,NULL
1827 BRANDYWINE DR,11489339.64,3910861.875,2008-10-28T00:00:00.000Z,NULL
601 MONTROSE AVE,11488039.3,3895981.204,2008-10-21T00:00:00.000Z,Unintentional
1827 BRANDYWINE DR,11489339.64,3910861.875,2008-10-28T00:00:00.000Z,Unintentional
207 RIDGE ST,11486865.91,3898296.538,2008-10-30T00:00:00.000Z,NULL
207 RIDGE ST,11486865.91,3898296.538,2008-10-30T00:00:00.000Z,Unintentional
810 HARDY DR,11485431.3,3899696.881,2008-11-09T00:00:00.000Z,NULL
1004 2ND ST SE,11487495.9,3896090.713,2008-11-12T00:00:00.000Z,NULL
1600 6TH ST SE #23,11486800.1,3893789.929,2008-11-10T00:00:00.000Z,NULL
619 MADISON AVE #A,11483999.14,3902754.807,2008-11-16T00:00:00.000Z,NULL
619 MADISON AVE #A,11483999.14,3902754.807,2008-11-16T00:00:00.000Z,Unintentional
122 MAYWOOD LN,11480696.34,3898060.508,2008-11-17T00:00:00.000Z,NULL
122 MAYWOOD LN,11480696.34,3898060.508,2008-11-17T00:00:00.000Z,Failure of equipment or heat source
1920 SWANSON DR #1,11484882.97,3910699.901,2008-11-18T00:00:00.000Z,NULL
1006 RUGBY RD,11484975.12,3904466.629,2008-11-18T00:00:00.000Z,NULL
